,0
0,WH-A
1,TH-A
2,FH-A
3,WCT-A
4,WCT-A
5,COL-B
6,COL-C
7,COL-E
8,TH-C
9,TH-C
10,WH-C
11,TH-A
12,WH-A
13,AM-B
14,AM-B
15,AM-A
16,AM-B
17,AM-E
18,AM-C
19,AM-D
20,AM-E
21,AM-C
22,AM-D
23,AM-E
24,AM-B
25,AM-B
26,AM-B
27,AM-B
28,AM-B
29,WH-A
30,WH-B
31,COL-E
32,AM-B
33,AM-B
34,TH-C
35,TH-C
36,TH-C
37,AM-B
38,TH-A
39,AM-D
40,AM-E
41,CH-B
42,CH-B
43,EH-B
44,TH-A
45,TH-A
46,AM-E
47,AM-A
48,AM-B
49,AM-E
50,AM-C
51,AM-A
52,AM-C
53,AM-A
54,AM-C
55,AM-A
56,AM-C
57,AM-C
58,CH-B
59,AM-B
60,AM-A
61,CH-B
62,CH-B
63,CH-B
64,CH-B
65,EH-C
66,TH-A
67,CH-B
68,EH-B
69,COL-C
70,COL-C
71,WH-B
72,WH-B
73,COL-E
74,EH-A
75,EH-C
76,TH-A
77,TH-A
78,COL-B
79,WH-B
80,WH-B
81,COL-E
82,WH-B
83,COL-E
84,EH-E
85,CH-A
86,EH-C
87,TH-B
88,TH-C
89,TH-C
90,WH-A
91,AM-B
92,AM-B
93,CH-B
94,TH-A
95,CH-B
96,EH-B
97,FH-B
98,TH-C
99,TH-C
100,TH-A
101,CH-B
102,COL-C
103,WCT-B
104,WCT-B
105,WCT-B
106,WH-A
107,WH-B
108,WH-B
109,COL-F
110,FH-C
111,FH-C
112,FH-A
113,WH-B
114,COL-E
115,COL-E
116,WH-A
117,WH-A
118,WH-B
119,EH-D
120,COL-E
121,COL-F
122,TH-A
123,TH-A
124,WCT-A
125,TH-B
126,FH-B
127,TH-C
128,TH-C
129,WH-C
130,EH-E
131,EH-A
132,EH-A
133,EH-C
134,TH-B
135,FH-A
136,WH-D
137,COL-A
138,WH-D
139,WH-C
140,COL-E
141,FH-C
142,FH-C
143,COL-B
144,COL-D
145,COL-E
146,COL-F
147,COL-F
148,FH-B
149,WH-C
150,WH-D
151,WH-C
152,WH-C
153,WH-D
154,EH-D
155,COL-A
156,COL-A
157,WH-C
158,CH-A
159,CH-A
160,EH-E
161,FH-C
162,EH-C
163,COL-B
164,EH-B
165,COL-D
166,COL-D
167,COL-C
168,COL-A
169,COL-D
170,COL-D
171,EH-D
172,WH-B
173,EH-D
174,EH-D
175,WH-C
176,EH-D
177,EH-E
178,FH-C
179,WH-C
180,COL-E
181,EH-E
182,TH-B
183,FH-B
184,WH-D
185,WH-C
186,WH-C
187,COL-E
188,TH-A
189,TH-A
190,EH-C
191,COL-A
192,FH-B
193,TH-C
194,TH-C
195,COL-C
196,TH-C
197,COL-C
198,WH-C
199,COL-E
200,EH-C
201,WCT-B
202,FH-C
203,EH-D
204,EH-A
205,EH-A
206,EH-A
207,EH-A
208,EH-C
209,TH-B
210,TH-C
211,WH-A
212,EH-B
213,TH-A
214,TH-A
215,COL-D
216,EH-A
217,EH-A
218,COL-D
219,COL-F
220,FH-B
221,FH-B
222,WH-D
223,CH-A
224,EH-A
225,CH-B
226,EH-A
227,EH-C
228,EH-C
229,FH-A
230,FH-B
231,WH-C
232,COL-A
233,FH-A
234,WH-D
235,WH-C
236,WH-B
237,COL-E
238,COL-E
239,EH-E
240,TH-A
241,WH-A
242,WCT-A
243,WCT-A
244,WCT-A
245,WCT-A
246,WCT-A
247,COL-A
248,EH-D
249,FH-C
250,FH-C
251,WH-C
252,COL-E
253,COL-E
254,COL-F
255,COL-E
256,WCT-A
257,COL-A
258,COL-B
259,EH-D
260,FH-B
261,FH-B
262,FH-B
263,FH-B
264,TH-C
265,CH-A
266,EH-E
267,EH-E
268,TH-A
269,TH-C
270,TH-A
271,TH-A
272,FH-A
273,WH-A
274,FH-A
275,WH-B
276,COL-E
277,WH-A
278,CH-B
279,COL-E
280,WCT-A
281,COL-A
282,WH-D
283,WH-B
284,COL-D
285,COL-F
286,COL-F
287,COL-A
288,WH-D
289,WH-C
290,CH-A
291,EH-E
292,TH-A
293,FH-A
294,TH-C
295,AM-B
296,TH-A
297,WCT-B
298,COL-C
299,COL-C
300,COL-C
301,COL-C
302,COL-A
303,COL-A
304,COL-A
305,FH-A
306,WH-D
307,COL-A
308,COL-C
309,WCT-B
310,WCT-B
311,COL-B
312,COL-D
313,WH-B
314,COL-E
315,COL-C
316,TH-A
317,TH-A
318,FH-A
319,WH-D
320,WH-C
321,COL-F
322,WCT-B
323,WCT-A
324,WCT-A
325,COL-C
326,COL-E
327,EH-C
328,FH-A
329,COL-B
330,COL-B
331,COL-C
332,COL-F
333,FH-C
334,AM-D
335,WCT-B
336,COL-A
337,COL-A
338,COL-A
339,WH-D
340,WH-C
341,WH-B
342,COL-E
343,FH-C
344,WH-C
345,COL-E
346,COL-E
347,COL-E
348,EH-B
349,AM-E
350,AM-A
351,CH-B
352,WCT-B
353,WCT-B
354,FH-C
355,COL-C
356,TH-A
357,TH-A
358,TH-B
359,FH-A
360,COL-C
361,AM-E
362,AM-E
363,AM-B
364,AM-B
365,AM-B
366,AM-B
367,AM-D
368,AM-D
369,AM-E
370,AM-A
371,AM-A
372,AM-A
373,AM-B
374,AM-B
375,AM-B
376,AM-D
377,AM-D
378,AM-E
379,AM-E
380,EH-B
381,EH-B
382,AM-D
383,AM-E
384,AM-B
385,EH-B
386,EH-B
387,EH-B
388,EH-B
389,EH-B
390,AM-D
391,FH-C
392,TH-C
393,AM-E
394,CH-B
395,AM-B
396,EH-B
397,AM-D
398,AM-D
399,AM-D
400,AM-E
401,AM-A
402,AM-A
403,AM-A
404,AM-A
405,AM-C
406,EH-B
407,EH-B
408,AM-B
409,AM-C
410,AM-C
411,AM-B
412,AM-A
413,EH-B
414,EH-B
415,EH-B
416,EH-B
417,EH-B
418,TH-A
419,CH-B
420,EH-B
421,COL-C
422,COL-C
423,COL-C
424,COL-C
425,WH-A
426,AM-B
427,EH-B
428,TH-A
429,TH-A
430,TH-C
431,TH-A
432,TH-A
433,WH-A
434,CH-B
435,EH-B
436,EH-B
437,TH-A
438,TH-A
439,TH-A
440,TH-A
441,WH-A
442,AM-B
443,TH-A
444,WH-A
445,AM-B
446,AM-B
447,TH-A
448,CH-B
449,EH-B
450,AM-D
451,TH-A
452,EH-B
453,EH-B
454,TH-A
455,AM-D
456,AM-E
457,AM-E
458,TH-C
459,AM-B
460,AM-B
461,EH-B
462,AM-B
463,CH-B
464,EH-A
465,EH-A
466,EH-C
467,EH-E
468,TH-B
469,TH-C
470,TH-C
471,WH-A
472,WH-A
473,AM-B
474,WH-C
475,WCT-A
476,WCT-A
477,WH-D
478,WH-A
479,CH-A
480,TH-C
481,WH-D
482,WH-A
